spatial_cell,archetype_id,archetype_name,lifecycle_state,hotspot_text,mean_poi,cis,propagation_score,enforcement_failure_index,final_priority_score,forecast_next_poi,pred_high_risk_prob
cell_12.89_77.647,1,Night Spillovers,Stable,Spatial Cell cell_12.89_77.647. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.92. Congestion Impact Score 35.14. Propagation Score 40.11. Enforcement Failure Index 37.55. Priority Score 34.88. Recommended Action: Night patrol + camera monitoring.,0.9162907318741551,35.14105680655067,40.110030706243606,37.55220061412487,34.87871033776868,0.9162907318741551,0.0
cell_12.89_77.648,4,Freight Obstruction Corridors,Stable,Spatial Cell cell_12.89_77.648. Archetype: Freight Obstruction Corridors. Lifecycle State: Stable. Average Parking Impact Score 0.56. Congestion Impact Score 11.56. Propagation Score 5.53. Enforcement Failure Index 21.80. Priority Score 17.62. Recommended Action: Heavy-vehicle enforcement + loading control.,0.5596157879354227,11.55962128966223,5.527123848515865,21.797338792221083,17.616929375639717,0.5596157879354227,0.0
cell_12.89_77.649,4,Freight Obstruction Corridors,Stable,Spatial Cell cell_12.89_77.649. Archetype: Freight Obstruction Corridors. Lifecycle State: Stable. Average Parking Impact Score 0.56. Congestion Impact Score 11.56. Propagation Score 5.54. Enforcement Failure Index 21.80. Priority Score 17.62. Recommended Action: Heavy-vehicle enforcement + loading control.,0.5596157879354227,11.564738996929377,5.539918116683726,21.799641760491294,17.621801432958037,0.5596157879354227,0.0
cell_12.89_77.669,1,Night Spillovers,Stable,Spatial Cell cell_12.89_77.669. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.44. Congestion Impact Score 11.63. Propagation Score 1.10. Enforcement Failure Index 23.43. Priority Score 17.30. Recommended Action: Night patrol + camera monitoring.,0.4404852281472668,11.630309621289662,1.1003070624360285,23.427328556806547,17.295035823950872,0.4404852281472668,0.0
cell_12.901_77.467,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.467. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.92. Congestion Impact Score 34.09. Propagation Score 37.32. Enforcement Failure Index 36.52. Priority Score 34.05. Recommended Action: Night patrol + camera monitoring.,0.9162907318741551,34.08936796315251,37.32088024564995,36.52277379733879,34.04810644831115,0.9162907318741551,0.0
cell_12.901_77.468,4,Freight Obstruction Corridors,Stable,Spatial Cell cell_12.901_77.468. Archetype: Freight Obstruction Corridors. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 23.85. Propagation Score 25.58. Enforcement Failure Index 30.03. Priority Score 29.13. Recommended Action: Heavy-vehicle enforcement + loading control.,0.7537718023763802,23.85043500511771,25.575742067553737,30.026100307062435,29.129600818833172,0.7537718023763802,0.0
cell_12.901_77.544,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.544. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.56. Congestion Impact Score 12.23. Propagation Score 7.27. Enforcement Failure Index 22.25. Priority Score 16.29. Recommended Action: Night patrol + camera monitoring.,0.5596157879354227,12.227482088024564,7.267144319344933,22.248720573183213,16.29132548618219,0.5596157879354227,0.0
cell_12.901_77.586,5,Mixed Risk Zone,Stable,Spatial Cell cell_12.901_77.586. Archetype: Mixed Risk Zone. Lifecycle State: Stable. Average Parking Impact Score 0.55. Congestion Impact Score 13.24. Propagation Score 7.63. Enforcement Failure Index 28.97. Priority Score 25.13. Recommended Action: Routine monitoring.,0.5451598972901537,13.2353505629478,7.625383828045036,28.966479017400204,25.13229273285568,0.5451598972901537,0.0
cell_12.901_77.593,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.593. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.73. Congestion Impact Score 22.55. Propagation Score 15.23. Enforcement Failure Index 30.77. Priority Score 26.63. Recommended Action: Night patrol + camera monitoring.,0.7260352288848149,22.554695496417608,15.225179119754351,30.774820880245652,26.631908904810647,0.7260352288848149,0.0
cell_12.901_77.594,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.594. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.93. Congestion Impact Score 45.64. Propagation Score 40.84. Enforcement Failure Index 53.35. Priority Score 49.07. Recommended Action: Night patrol + camera monitoring.,0.9269727364885318,45.637474411463664,40.83930399181167,53.35043500511772,49.06601842374617,0.9269727364885318,0.0
cell_12.901_77.601,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.601. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.99. Congestion Impact Score 41.98. Propagation Score 44.98. Enforcement Failure Index 40.17. Priority Score 38.73. Recommended Action: Night patrol + camera monitoring.,0.9886113934537812,41.98247185261003,44.98464687819857,40.16632548618219,38.72517911975435,0.9886113934537812,0.0
cell_12.901_77.608,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.608. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 23.61. Propagation Score 25.01. Enforcement Failure Index 29.81. Priority Score 25.81. Recommended Action: Night patrol + camera monitoring.,0.7537718023763802,23.612461617195496,25.01279426816786,29.8050153531218,25.810772773797343,0.7537718023763802,0.0
cell_12.901_77.633,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.633. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 1.02. Congestion Impact Score 50.72. Propagation Score 50.06. Enforcement Failure Index 51.08. Priority Score 53.05. Recommended Action: Night patrol + camera monitoring.,1.019285732278265,50.72255629477994,50.06397134083931,51.07868474923235,53.045803480040945,0.998870744038868,0.007136605169702272
cell_12.901_77.639,0,Junction Choke Points,Stable,Spatial Cell cell_12.901_77.639. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.25. Congestion Impact Score 65.00. Propagation Score 65.31. Enforcement Failure Index 61.91. Priority Score 67.87. Recommended Action: Immediate patrol + tow readiness.,1.252967877208629,65.00159928352099,65.31473899692938,61.91005629477995,67.87246673490277,1.252967877208629,0.0
