model,MAE,RMSE,Corr,R2
CatBoost-spatial holdout,4.156396034880415,10.401942738296363,0.4934484203294319,0.06369929026288457
CatBoost,5.602680068634059,15.165252042090357,0.46466112742238647,0.0754087714341295
Mean baseline,7.764260395640973,15.77933849730457,0.0,-0.0009861982221732735
