source,target,weight,edge_type
cell_12.818_77.689,cell_13.025_77.585,0.9815814081156248,similarity
cell_12.818_77.69,cell_13.002_77.595,0.9952493138740605,similarity
cell_12.818_77.69,cell_12.941_77.62,0.9950485872925976,similarity
cell_12.818_77.69,cell_12.944_77.586,0.9937835262308792,similarity
cell_12.818_77.69,cell_13.032_77.623,0.9937499373250362,similarity
cell_12.818_77.69,cell_13.045_77.548,0.9930962356412921,similarity
cell_12.819_77.688,cell_12.939_77.593,0.9999710087499117,similarity
cell_12.819_77.688,cell_12.93_77.634,0.9994129640301894,similarity
cell_12.819_77.688,cell_13.004_77.713,0.9992870598282323,similarity
cell_12.819_77.688,cell_12.901_77.675,0.9992081083859811,similarity
cell_12.819_77.688,cell_12.892_77.667,0.9990918729847483,similarity
cell_12.819_77.689,cell_13.192_77.646,0.9769778537392781,similarity
cell_12.819_77.689,cell_12.841_77.676,0.9746353070630493,similarity
cell_12.819_77.689,cell_12.872_77.539,0.9567604739664681,similarity
cell_12.819_77.689,cell_12.942_77.747,0.9523619499963759,similarity
cell_12.819_77.689,cell_13.049_77.543,0.9510401360388093,similarity
cell_12.819_77.69,cell_13.043_77.6,0.9999999820367287,similarity
cell_12.819_77.69,cell_12.9_77.651,0.9999999267714923,similarity
cell_12.819_77.69,cell_12.994_77.685,0.9999999004359968,similarity
cell_12.819_77.69,cell_12.986_77.477,0.9999998859965363,similarity
cell_12.819_77.69,cell_13.075_77.588,0.9999998392803289,similarity
cell_12.821_77.687,cell_12.87_77.658,0.9968141872922653,similarity
cell_12.821_77.687,cell_12.936_77.516,0.9964246835605635,similarity
cell_12.821_77.687,cell_12.963_77.733,0.9958138610806511,similarity
cell_12.821_77.687,cell_13.042_77.594,0.9953592758088938,similarity
cell_12.821_77.687,cell_12.925_77.632,0.9951551930945802,similarity
cell_12.821_77.688,cell_12.957_77.74,0.9999909078123345,similarity
cell_12.821_77.688,cell_13.045_77.748,0.9999845047447592,similarity
cell_12.821_77.688,cell_12.981_77.695,0.9999603936742716,similarity
cell_12.821_77.688,cell_13.025_77.581,0.9999457297650169,similarity
cell_12.821_77.688,cell_12.959_77.659,0.9999423286970748,similarity
cell_12.822_77.686,cell_13.23_77.693,0.999994809011935,similarity
cell_12.822_77.686,cell_12.997_77.683,0.999989841968015,similarity
cell_12.822_77.686,cell_12.82_77.687,0.999968747578325,similarity
cell_12.822_77.686,cell_12.985_77.752,0.9998839663552881,similarity
cell_12.822_77.686,cell_12.997_77.574,0.9996483381671459,similarity
cell_12.822_77.687,cell_13.029_77.57,0.9999983452326394,similarity
cell_12.822_77.687,cell_12.997_77.601,0.9999722460624929,similarity
cell_12.822_77.687,cell_12.999_77.663,0.9999678565776926,similarity
cell_12.822_77.687,cell_13.075_77.592,0.999937531889466,similarity
cell_12.822_77.687,cell_13.049_77.556,0.9999243276784904,similarity
cell_12.823_77.685,cell_12.861_77.675,0.9894954454229485,similarity
cell_12.823_77.685,cell_13.105_77.601,0.9885310506338205,similarity
cell_12.823_77.685,cell_12.923_77.61,0.9884831967803351,similarity
cell_12.823_77.685,cell_12.924_77.61,0.9876844526145948,similarity
cell_12.823_77.685,cell_12.975_77.601,0.9876107609654052,similarity
cell_12.823_77.686,cell_12.887_77.651,0.9991918378108157,similarity
cell_12.823_77.686,cell_13.025_77.547,0.9990148407801664,similarity
cell_12.823_77.686,cell_12.968_77.713,0.9977092910836309,similarity
cell_12.823_77.686,cell_13.056_77.589,0.9975294527844726,similarity
cell_12.823_77.686,cell_13.062_77.742,0.9971603926755024,similarity
cell_12.824_77.684,cell_12.93_77.505,0.999999920596128,similarity
cell_12.824_77.684,cell_12.958_77.526,0.9999995850541863,similarity
cell_12.824_77.684,cell_13.023_77.6,0.9999978450630606,similarity
cell_12.824_77.684,cell_13.265_77.719,0.999997156615302,similarity
cell_12.824_77.684,cell_13.015_77.65,0.999997126945769,similarity
cell_12.824_77.685,cell_12.825_77.684,0.9999999962395753,similarity
cell_12.824_77.685,cell_12.97_77.711,0.9998069648990919,similarity
cell_12.824_77.685,cell_12.953_77.745,0.9990443695927793,similarity
cell_12.824_77.685,cell_12.957_77.712,0.9977086951712459,similarity
cell_12.824_77.685,cell_12.964_77.716,0.9976829559509341,similarity
cell_12.825_77.683,cell_12.969_77.737,0.9999481843851838,similarity
cell_12.825_77.683,cell_13.017_77.588,0.9995944063209454,similarity
cell_12.825_77.683,cell_12.961_77.615,0.99958484271301,similarity
cell_12.825_77.683,cell_13.009_77.557,0.999247337060917,similarity
cell_12.825_77.683,cell_12.978_77.615,0.9992446475134357,similarity
cell_12.825_77.684,cell_12.824_77.685,0.9999999962395753,similarity
cell_12.825_77.684,cell_12.97_77.711,0.9998078720888512,similarity
cell_12.825_77.684,cell_12.953_77.745,0.9990435973413501,similarity
cell_12.825_77.684,cell_12.957_77.712,0.9977060320412128,similarity
cell_12.825_77.684,cell_12.964_77.716,0.997680218710178,similarity
cell_12.826_77.682,cell_12.998_77.524,0.999630527222549,similarity
cell_12.826_77.682,cell_13.114_77.579,0.9992085816937233,similarity
cell_12.826_77.682,cell_13.032_77.534,0.9987878657712648,similarity
cell_12.826_77.682,cell_12.998_77.69,0.9978876868452249,similarity
cell_12.826_77.682,cell_12.9_77.634,0.9978044659795801,similarity
cell_12.826_77.683,cell_12.964_77.702,0.9993235351414114,similarity
cell_12.826_77.683,cell_12.924_77.609,0.998147226445782,similarity
cell_12.826_77.683,cell_12.953_77.744,0.9969607795736782,similarity
cell_12.826_77.683,cell_12.973_77.657,0.9967121637986315,similarity
cell_12.826_77.683,cell_12.945_77.49,0.9967002354484019,similarity
cell_12.827_77.682,cell_12.973_77.657,0.9994834609143226,similarity
cell_12.827_77.682,cell_12.937_77.694,0.9985804870075117,similarity
cell_12.827_77.682,cell_12.945_77.49,0.9985544871612602,similarity
cell_12.827_77.682,cell_12.964_77.702,0.9983814444850041,similarity
cell_12.827_77.682,cell_12.888_77.65,0.9976334069249894,similarity
cell_12.828_77.682,cell_13.022_77.551,0.9914662375944143,similarity
cell_12.828_77.682,cell_13.019_77.554,0.99073584408982,similarity
cell_12.828_77.682,cell_12.886_77.639,0.990214901284905,similarity
cell_12.828_77.682,cell_12.944_77.495,0.9894389834409936,similarity
cell_12.828_77.682,cell_12.976_77.619,0.9894319869358048,similarity
cell_12.828_77.683,cell_13.001_77.627,0.9999999750022367,similarity
cell_12.828_77.683,cell_12.952_77.497,0.9999995716887728,similarity
cell_12.828_77.683,cell_13.006_77.638,0.9999994740276121,similarity
cell_12.828_77.683,cell_12.877_77.612,0.9999994537675342,similarity
cell_12.828_77.683,cell_12.938_77.622,0.9999993382083597,similarity
cell_12.829_77.682,cell_13.123_77.63,0.9999919418701185,similarity
cell_12.829_77.682,cell_13.122_77.62,0.9999872888174134,similarity
cell_12.829_77.682,cell_13.059_77.599,0.9999832633003236,similarity
cell_12.829_77.682,cell_13.001_77.683,0.9999428901243637,similarity
cell_12.829_77.682,cell_12.979_77.63,0.9998049272743404,similarity
cell_12.82_77.687,cell_13.23_77.693,0.9999890078958349,similarity
cell_12.82_77.687,cell_12.985_77.752,0.9999730716076417,similarity
cell_12.82_77.687,cell_12.822_77.686,0.999968747578325,similarity
cell_12.82_77.687,cell_12.997_77.683,0.9999230655501792,similarity
cell_12.82_77.687,cell_12.997_77.574,0.9998263437211778,similarity
cell_12.82_77.688,cell_12.985_77.48,0.9974535601124545,similarity
cell_12.82_77.688,cell_12.971_77.648,0.9963503831614561,similarity
cell_12.82_77.688,cell_13.033_77.559,0.9963020175302287,similarity
cell_12.82_77.688,cell_12.903_77.642,0.9949319522703186,similarity
cell_12.82_77.688,cell_13.014_77.554,0.9934294805976862,similarity
cell_12.82_77.689,cell_12.979_77.711,0.9999687916116463,similarity
cell_12.82_77.689,cell_12.925_77.639,0.9999665375762028,similarity
cell_12.82_77.689,cell_12.924_77.612,0.999958660778007,similarity
cell_12.82_77.689,cell_12.857_77.663,0.9998215000555161,similarity
cell_12.82_77.689,cell_12.945_77.63,0.9996640960708469,similarity
cell_12.831_77.681,cell_12.895_77.555,0.9999828203792234,similarity
cell_12.831_77.681,cell_12.907_77.54,0.9999551754035598,similarity
cell_12.831_77.681,cell_12.95_77.626,0.9999551525620755,similarity
cell_12.831_77.681,cell_13.043_77.525,0.9999541426057924,similarity
cell_12.831_77.681,cell_13.044_77.526,0.9999530294361436,similarity
cell_12.832_77.68,cell_12.971_77.635,0.9999999938806444,similarity
cell_12.832_77.68,cell_12.96_77.717,0.9999999355269789,similarity
cell_12.832_77.68,cell_12.973_77.678,0.9999998915033861,similarity
cell_12.832_77.68,cell_12.998_77.62,0.999999854734817,similarity
cell_12.832_77.68,cell_13.001_77.619,0.9999997397583327,similarity
cell_12.833_77.68,cell_12.972_77.641,0.9999999537606771,similarity
cell_12.833_77.68,cell_12.888_77.739,0.9999934760620014,similarity
cell_12.833_77.68,cell_12.988_77.754,0.9999838141935948,similarity
cell_12.833_77.68,cell_13.057_77.626,0.9999832831700933,similarity
cell_12.833_77.68,cell_12.891_77.599,0.9999765496762727,similarity
cell_12.833_77.681,cell_12.841_77.647,0.9999999850742717,similarity
cell_12.833_77.681,cell_13.045_77.615,0.999999943129012,similarity
cell_12.833_77.681,cell_13.243_77.713,0.9999999413387288,similarity
cell_12.833_77.681,cell_12.896_77.455,0.9999998706551515,similarity
cell_12.833_77.681,cell_12.914_77.626,0.9999998572473678,similarity
cell_12.835_77.679,cell_13.054_77.762,0.9931652050295858,similarity
cell_12.835_77.679,cell_12.956_77.718,0.9633075650934793,similarity
cell_12.835_77.679,cell_12.91_77.551,0.956761854894556,similarity
cell_12.835_77.679,cell_12.841_77.649,0.9525226050053216,similarity
cell_12.835_77.679,cell_13.192_77.681,0.9496382002081745,similarity
cell_12.835_77.68,cell_12.995_77.617,0.9999999752693512,similarity
cell_12.835_77.68,cell_13.028_77.633,0.9999999606193452,similarity
cell_12.835_77.68,cell_13.006_77.638,0.9999998810889408,similarity
cell_12.835_77.68,cell_13.001_77.627,0.9999991527624613,similarity
cell_12.835_77.68,cell_13.025_77.533,0.99999893977835,similarity
cell_12.835_77.681,cell_12.919_77.665,0.9999999867165101,similarity
cell_12.835_77.681,cell_12.953_77.5,0.9999999468472652,similarity
cell_12.835_77.681,cell_12.985_77.614,0.9999999420967022,similarity
cell_12.835_77.681,cell_13.072_77.605,0.9999998803640824,similarity
cell_12.835_77.681,cell_12.97_77.635,0.999999682966154,similarity
cell_12.836_77.679,cell_13.058_77.546,0.9998102367970982,similarity
cell_12.836_77.679,cell_13.033_77.589,0.99943158158447,similarity
cell_12.836_77.679,cell_12.927_77.621,0.9993218782670702,similarity
cell_12.836_77.679,cell_12.979_77.751,0.9991255675410159,similarity
cell_12.836_77.679,cell_12.937_77.493,0.9988903446096392,similarity
cell_12.836_77.68,cell_12.985_77.526,0.9999999872052221,similarity
cell_12.836_77.68,cell_12.942_77.495,0.9999999493419198,similarity
cell_12.836_77.68,cell_12.979_77.68,0.9999999468429356,similarity
cell_12.836_77.68,cell_12.934_77.56,0.9999998851053595,similarity
cell_12.836_77.68,cell_13.004_77.709,0.9999996849555003,similarity
cell_12.837_77.663,cell_12.861_77.674,0.9999945831387371,similarity
cell_12.837_77.663,cell_13.017_77.762,0.9999796190166984,similarity
cell_12.837_77.663,cell_13.0_77.573,0.9999698508156102,similarity
cell_12.837_77.663,cell_12.85_77.652,0.999946307569043,similarity
cell_12.837_77.663,cell_12.884_77.751,0.9999188630417097,similarity
cell_12.837_77.678,cell_13.205_77.677,0.9999999955785749,similarity
cell_12.837_77.678,cell_13.035_77.515,0.9999999950125668,similarity
cell_12.837_77.678,cell_12.991_77.718,0.9999999832839885,similarity
cell_12.837_77.678,cell_13.201_77.678,0.9999999823101713,similarity
cell_12.837_77.678,cell_12.894_77.61,0.9999999627269343,similarity
cell_12.838_77.677,cell_12.924_77.518,0.9999322563149369,similarity
cell_12.838_77.677,cell_12.914_77.645,0.9999317091811892,similarity
cell_12.838_77.677,cell_12.958_77.747,0.9999310139937448,similarity
cell_12.838_77.677,cell_13.027_77.521,0.999930173688481,similarity
cell_12.838_77.677,cell_13.018_77.704,0.9999287738652389,similarity
cell_12.839_77.651,cell_12.937_77.532,0.9999999889928849,similarity
cell_12.839_77.651,cell_12.911_77.642,0.9999999889852068,similarity
cell_12.839_77.651,cell_12.952_77.478,0.9999999593062616,similarity
cell_12.839_77.651,cell_12.963_77.547,0.9999999559254611,similarity
cell_12.839_77.651,cell_12.945_77.587,0.9999999080649622,similarity
cell_12.839_77.657,cell_13.069_77.558,0.9999999909699204,similarity
cell_12.839_77.657,cell_13.069_77.559,0.999999990845347,similarity
cell_12.839_77.657,cell_12.969_77.63,0.999999964425174,similarity
cell_12.839_77.657,cell_12.907_77.534,0.9999999196034166,similarity
cell_12.839_77.657,cell_13.006_77.624,0.999999856357832,similarity
cell_12.839_77.678,cell_12.91_77.645,0.9973945745794303,similarity
cell_12.839_77.678,cell_13.067_77.594,0.9967840442296875,similarity
cell_12.839_77.678,cell_12.959_77.65,0.9958378895697482,similarity
cell_12.839_77.678,cell_12.912_77.652,0.9952275713773008,similarity
cell_12.839_77.678,cell_12.993_77.609,0.9947957230390967,similarity
cell_12.83_77.681,cell_13.007_77.699,0.9983259108018417,similarity
cell_12.83_77.681,cell_12.954_77.52,0.9970452489552277,similarity
cell_12.83_77.681,cell_13.122_77.61,0.9953275036147412,similarity
cell_12.83_77.681,cell_13.123_77.611,0.993089693250129,similarity
cell_12.83_77.681,cell_12.909_77.688,0.992116746034188,similarity
cell_12.83_77.682,cell_13.045_77.5,0.9999926083939129,similarity
cell_12.83_77.682,cell_13.046_77.498,0.9999922586288513,similarity
cell_12.83_77.682,cell_12.981_77.693,0.9999860513854162,similarity
cell_12.83_77.682,cell_12.982_77.693,0.9999850930281187,similarity
cell_12.83_77.682,cell_12.915_77.488,0.9999844871237349,similarity
cell_12.841_77.644,cell_12.925_77.634,0.9977663322626628,similarity
cell_12.841_77.644,cell_12.96_77.647,0.9943552232800309,similarity
cell_12.841_77.644,cell_12.961_77.649,0.9925746656886609,similarity
cell_12.841_77.644,cell_12.923_77.67,0.9915238495555175,similarity
cell_12.841_77.644,cell_12.973_77.614,0.9897785730676115,similarity
cell_12.841_77.645,cell_12.949_77.639,0.9999987013623697,similarity
cell_12.841_77.645,cell_12.917_77.668,0.9999977164028682,similarity
cell_12.841_77.645,cell_13.029_77.632,0.9999977163698509,similarity
cell_12.841_77.645,cell_12.917_77.667,0.9999977054279965,similarity
cell_12.841_77.645,cell_13.024_77.634,0.9999976964127948,similarity
cell_12.841_77.646,cell_12.986_77.733,0.9999887118910853,similarity
cell_12.841_77.646,cell_13.038_77.535,0.9998959009679432,similarity
cell_12.841_77.646,cell_13.099_77.589,0.9998653131485504,similarity
cell_12.841_77.646,cell_13.079_77.559,0.9998190115722464,similarity
cell_12.841_77.646,cell_12.881_77.61,0.9998094488532672,similarity
cell_12.841_77.647,cell_13.045_77.615,0.9999999858157902,similarity
cell_12.841_77.647,cell_12.833_77.681,0.9999999850742717,similarity
cell_12.841_77.647,cell_12.896_77.455,0.9999999431715664,similarity
cell_12.841_77.647,cell_12.898_77.626,0.9999998724496139,similarity
cell_12.841_77.647,cell_13.243_77.713,0.9999998724448883,similarity
cell_12.841_77.648,cell_12.915_77.632,0.9953017551314716,similarity
cell_12.841_77.648,cell_12.991_77.605,0.9938551938588915,similarity
cell_12.841_77.648,cell_12.975_77.603,0.9930113062534976,similarity
cell_12.841_77.648,cell_13.161_77.626,0.9926648537442178,similarity
cell_12.841_77.648,cell_13.021_77.657,0.9925197260576131,similarity
cell_12.841_77.649,cell_13.19_77.645,0.9912096137836823,similarity
cell_12.841_77.649,cell_13.017_77.592,0.9711185650178648,similarity
cell_12.841_77.649,cell_13.062_77.593,0.9657004384910493,similarity
cell_12.841_77.649,cell_13.007_77.526,0.96116652281594,similarity
cell_12.841_77.649,cell_12.956_77.718,0.9545936564645342,similarity
cell_12.841_77.65,cell_12.914_77.481,0.9972147760183467,similarity
cell_12.841_77.65,cell_12.99_77.505,0.9967832037452262,similarity
cell_12.841_77.65,cell_13.0_77.625,0.9966145999136444,similarity
cell_12.841_77.65,cell_12.914_77.604,0.9965396814640246,similarity
cell_12.841_77.65,cell_13.001_77.676,0.9958208354218632,similarity
cell_12.841_77.651,cell_12.918_77.672,0.9979945437572545,similarity
cell_12.841_77.651,cell_13.007_77.687,0.9911990191525141,similarity
cell_12.841_77.651,cell_13.02_77.709,0.9908677006923418,similarity
cell_12.841_77.651,cell_13.249_77.716,0.9866482231153698,similarity
cell_12.841_77.651,cell_13.052_77.552,0.9861647919849015,similarity
cell_12.841_77.652,cell_12.884_77.549,0.9999800608919965,similarity
cell_12.841_77.652,cell_13.073_77.634,0.999979864332963,similarity
cell_12.841_77.652,cell_12.903_77.676,0.9999479955791274,similarity
cell_12.841_77.652,cell_13.044_77.601,0.9999304733924448,similarity
cell_12.841_77.652,cell_13.067_77.531,0.9999098992137172,similarity
cell_12.841_77.663,cell_12.985_77.75,0.9999969272619885,similarity
cell_12.841_77.663,cell_12.939_77.747,0.9999584681060676,similarity
cell_12.841_77.663,cell_12.939_77.592,0.9999141709948833,similarity
cell_12.841_77.663,cell_12.903_77.662,0.9999085621298669,similarity
cell_12.841_77.663,cell_12.952_77.61,0.9998959622659529,similarity
cell_12.841_77.676,cell_13.016_77.55,0.9748064288469853,similarity
cell_12.841_77.676,cell_12.819_77.689,0.9746353070630493,similarity
cell_12.841_77.676,cell_13.022_77.533,0.9736989002475291,similarity
cell_12.841_77.676,cell_13.192_77.646,0.9580004019208109,similarity
cell_12.841_77.676,cell_12.942_77.747,0.9510334362026237,similarity
cell_12.841_77.677,cell_12.933_77.631,0.9852692776404282,similarity
cell_12.841_77.677,cell_12.912_77.633,0.974493810410983,similarity
cell_12.841_77.677,cell_13.094_77.594,0.9703384046280242,similarity
cell_12.841_77.677,cell_13.051_77.553,0.9691963708933641,similarity
cell_12.841_77.677,cell_12.996_77.613,0.9564106301806601,similarity
cell_12.842_77.644,cell_12.842_77.645,0.9982601608407298,similarity
cell_12.842_77.644,cell_12.899_77.675,0.9940465605024871,similarity
cell_12.842_77.644,cell_12.969_77.641,0.9904984714234718,similarity
cell_12.842_77.644,cell_12.952_77.717,0.9871165963859584,similarity
cell_12.842_77.644,cell_12.912_77.638,0.98622545620461,similarity
cell_12.842_77.645,cell_12.842_77.644,0.9982601608407298,similarity
cell_12.842_77.645,cell_12.899_77.675,0.9866817922002384,similarity
cell_12.842_77.645,cell_12.912_77.638,0.9848366342132323,similarity
cell_12.842_77.645,cell_13.005_77.685,0.9848334032471249,similarity
cell_12.842_77.645,cell_12.906_77.63,0.9839148202640189,similarity
cell_12.842_77.646,cell_12.976_77.559,0.9975949647932424,similarity
cell_12.842_77.646,cell_13.006_77.686,0.9933535984001219,similarity
cell_12.842_77.646,cell_13.0_77.677,0.9908666836888697,similarity
cell_12.842_77.646,cell_12.996_77.668,0.9905082213569711,similarity
cell_12.842_77.646,cell_13.0_77.611,0.9885235752459499,similarity
cell_12.842_77.647,cell_12.994_77.663,0.9984264202305954,similarity
cell_12.842_77.647,cell_13.0_77.676,0.9940670153209816,similarity
cell_12.842_77.647,cell_12.97_77.641,0.991468429000442,similarity
cell_12.842_77.647,cell_13.001_77.677,0.9901572368262584,similarity
cell_12.842_77.647,cell_13.07_77.587,0.9896825680731869,similarity
cell_12.842_77.648,cell_12.993_77.662,0.9932967621154972,similarity
