spatial_cell,embedding_row,archetype_name
cell_12.926_77.677,1440,Junction Choke Points
cell_12.926_77.678,1441,Freight Obstruction Corridors
cell_12.926_77.679,1442,Freight Obstruction Corridors
cell_12.926_77.695,1443,Commercial Arteries
cell_12.926_77.698,1444,Night Spillovers
cell_12.926_77.738,1445,Night Spillovers
cell_12.927_77.547,1446,Junction Choke Points
cell_12.927_77.548,1447,Freight Obstruction Corridors
cell_12.927_77.551,1448,Junction Choke Points
cell_12.927_77.552,1449,Mixed Risk Zone
cell_12.927_77.569,1450,Night Spillovers
cell_12.927_77.574,1451,Junction Choke Points
cell_12.927_77.578,1452,Junction Choke Points
cell_12.927_77.58,1453,Junction Choke Points
cell_12.927_77.581,1454,Junction Choke Points
cell_12.927_77.583,1455,Junction Choke Points
cell_12.927_77.584,1456,Junction Choke Points
cell_12.927_77.585,1457,Junction Choke Points
cell_12.927_77.586,1458,Junction Choke Points
cell_12.927_77.587,1459,Junction Choke Points
cell_12.927_77.591,1460,Freight Obstruction Corridors
cell_12.927_77.594,1461,Night Spillovers
cell_12.927_77.597,1462,Junction Choke Points
cell_12.927_77.609,1463,Junction Choke Points
cell_12.927_77.616,1464,Junction Choke Points
cell_12.927_77.617,1465,Freight Obstruction Corridors
cell_12.927_77.62,1466,Night Spillovers
cell_12.927_77.621,1467,Night Spillovers
cell_12.927_77.622,1468,Mixed Risk Zone
cell_12.927_77.633,1469,Night Spillovers
cell_12.927_77.67,1470,Night Spillovers
cell_12.927_77.671,1471,Night Spillovers
cell_12.927_77.676,1472,Night Spillovers
cell_12.927_77.677,1473,Night Spillovers
cell_12.927_77.678,1474,Freight Obstruction Corridors
cell_12.927_77.679,1475,Junction Choke Points
cell_12.927_77.68,1476,Junction Choke Points
cell_12.927_77.681,1477,Night Spillovers
cell_12.927_77.695,1478,Junction Choke Points
cell_12.928_77.511,1479,Night Spillovers
cell_12.928_77.546,1480,Junction Choke Points
cell_12.928_77.551,1481,Junction Choke Points
cell_12.928_77.58,1482,Junction Choke Points
cell_12.928_77.581,1483,Junction Choke Points
cell_12.928_77.582,1484,Junction Choke Points
cell_12.928_77.583,1485,Junction Choke Points
cell_12.928_77.584,1486,Junction Choke Points
cell_12.928_77.585,1487,Junction Choke Points
cell_12.928_77.586,1488,Junction Choke Points
cell_12.928_77.588,1489,Mixed Risk Zone
cell_12.928_77.591,1490,Night Spillovers
cell_12.928_77.593,1491,Night Spillovers
cell_12.928_77.597,1492,Junction Choke Points
cell_12.928_77.6,1493,Junction Choke Points
cell_12.928_77.609,1494,Night Spillovers
cell_12.928_77.616,1495,Junction Choke Points
cell_12.928_77.619,1496,Junction Choke Points
cell_12.928_77.62,1497,Night Spillovers
cell_12.928_77.621,1498,Mixed Risk Zone
cell_12.928_77.633,1499,Night Spillovers
cell_12.928_77.677,1500,Night Spillovers
cell_12.928_77.678,1501,Freight Obstruction Corridors
cell_12.928_77.679,1502,Junction Choke Points
cell_12.928_77.68,1503,Junction Choke Points
cell_12.928_77.681,1504,Junction Choke Points
cell_12.928_77.682,1505,Commercial Arteries
cell_12.928_77.695,1506,Junction Choke Points
cell_12.929_77.549,1507,Junction Choke Points
cell_12.929_77.566,1508,Night Spillovers
cell_12.929_77.568,1509,Night Spillovers
cell_12.929_77.573,1510,Junction Choke Points
cell_12.929_77.58,1511,Junction Choke Points
cell_12.929_77.581,1512,Junction Choke Points
cell_12.929_77.582,1513,Junction Choke Points
cell_12.929_77.583,1514,Junction Choke Points
cell_12.929_77.584,1515,Junction Choke Points
cell_12.929_77.585,1516,Junction Choke Points
cell_12.929_77.586,1517,Junction Choke Points
cell_12.929_77.587,1518,Junction Choke Points
cell_12.929_77.591,1519,Mixed Risk Zone
cell_12.929_77.592,1520,Night Spillovers
cell_12.929_77.593,1521,Night Spillovers
cell_12.929_77.597,1522,Junction Choke Points
cell_12.929_77.6,1523,Junction Choke Points
cell_12.929_77.609,1524,Night Spillovers
cell_12.929_77.615,1525,Night Spillovers
cell_12.929_77.617,1526,Junction Choke Points
cell_12.929_77.618,1527,Junction Choke Points
cell_12.929_77.632,1528,Night Spillovers
cell_12.929_77.633,1529,Night Spillovers
cell_12.929_77.676,1530,Mixed Risk Zone
cell_12.929_77.679,1531,Night Spillovers
cell_12.929_77.68,1532,Junction Choke Points
cell_12.929_77.681,1533,Commercial Arteries
cell_12.929_77.682,1534,Commercial Arteries
cell_12.929_77.683,1535,Commercial Arteries
cell_12.929_77.684,1536,Commercial Arteries
cell_12.929_77.685,1537,Commercial Arteries
cell_12.929_77.694,1538,Night Spillovers
cell_12.929_77.695,1539,Commercial Arteries
cell_12.92_77.514,1540,Night Spillovers
cell_12.92_77.541,1541,Mixed Risk Zone
cell_12.92_77.547,1542,Night Spillovers
cell_12.92_77.574,1543,Freight Obstruction Corridors
cell_12.92_77.577,1544,Junction Choke Points
cell_12.92_77.578,1545,Junction Choke Points
cell_12.92_77.58,1546,Junction Choke Points
cell_12.92_77.581,1547,Junction Choke Points
cell_12.92_77.582,1548,Junction Choke Points
cell_12.92_77.583,1549,Junction Choke Points
cell_12.92_77.584,1550,Junction Choke Points
cell_12.92_77.585,1551,Junction Choke Points
cell_12.92_77.593,1552,Junction Choke Points
cell_12.92_77.597,1553,Junction Choke Points
cell_12.92_77.6,1554,Junction Choke Points
cell_12.92_77.601,1555,Junction Choke Points
cell_12.92_77.61,1556,Junction Choke Points
cell_12.92_77.611,1557,Junction Choke Points
cell_12.92_77.613,1558,Junction Choke Points
cell_12.92_77.62,1559,Junction Choke Points
cell_12.92_77.621,1560,Junction Choke Points
cell_12.92_77.622,1561,Junction Choke Points
cell_12.92_77.638,1562,Freight Obstruction Corridors
cell_12.92_77.644,1563,Night Spillovers
cell_12.92_77.645,1564,Night Spillovers
cell_12.92_77.665,1565,Freight Obstruction Corridors
cell_12.92_77.666,1566,Night Spillovers
cell_12.92_77.667,1567,Mixed Risk Zone
cell_12.92_77.668,1568,Night Spillovers
cell_12.92_77.685,1569,Night Spillovers
cell_12.931_77.515,1570,Night Spillovers
cell_12.931_77.544,1571,Night Spillovers
cell_12.931_77.575,1572,Junction Choke Points
cell_12.931_77.58,1573,Junction Choke Points
cell_12.931_77.581,1574,Junction Choke Points
cell_12.931_77.583,1575,Junction Choke Points
cell_12.931_77.584,1576,Junction Choke Points
cell_12.931_77.585,1577,Junction Choke Points
cell_12.931_77.586,1578,Junction Choke Points
cell_12.931_77.593,1579,Night Spillovers
cell_12.931_77.601,1580,Junction Choke Points
cell_12.931_77.603,1581,Junction Choke Points
cell_12.931_77.604,1582,Junction Choke Points
cell_12.931_77.605,1583,Night Spillovers
cell_12.931_77.606,1584,Freight Obstruction Corridors
cell_12.931_77.607,1585,Junction Choke Points
cell_12.931_77.608,1586,Junction Choke Points
cell_12.931_77.609,1587,Junction Choke Points
cell_12.931_77.61,1588,Junction Choke Points
cell_12.931_77.611,1589,Junction Choke Points
cell_12.931_77.614,1590,Junction Choke Points
cell_12.931_77.623,1591,Night Spillovers
cell_12.931_77.624,1592,Night Spillovers
cell_12.931_77.625,1593,Night Spillovers
cell_12.931_77.633,1594,Night Spillovers
cell_12.931_77.634,1595,Night Spillovers
cell_12.931_77.679,1596,Night Spillovers
cell_12.931_77.683,1597,Commercial Arteries
cell_12.931_77.685,1598,Commercial Arteries
cell_12.931_77.686,1599,Commercial Arteries
cell_12.931_77.687,1600,Commercial Arteries
cell_12.931_77.688,1601,Commercial Arteries
cell_12.931_77.693,1602,Commercial Arteries
cell_12.931_77.694,1603,Commercial Arteries
cell_12.931_77.695,1604,Commercial Arteries
cell_12.932_77.506,1605,Night Spillovers
cell_12.932_77.515,1606,Night Spillovers
cell_12.932_77.516,1607,Night Spillovers
cell_12.932_77.517,1608,Night Spillovers
cell_12.932_77.545,1609,Junction Choke Points
cell_12.932_77.58,1610,Junction Choke Points
cell_12.932_77.582,1611,Junction Choke Points
cell_12.932_77.583,1612,Junction Choke Points
cell_12.932_77.584,1613,Junction Choke Points
cell_12.932_77.586,1614,Junction Choke Points
cell_12.932_77.592,1615,Night Spillovers
cell_12.932_77.593,1616,Night Spillovers
cell_12.932_77.609,1617,Junction Choke Points
cell_12.932_77.61,1618,Junction Choke Points
cell_12.932_77.613,1619,Junction Choke Points
cell_12.932_77.614,1620,Junction Choke Points
cell_12.932_77.623,1621,Night Spillovers
cell_12.932_77.632,1622,Night Spillovers
cell_12.932_77.633,1623,Night Spillovers
cell_12.932_77.634,1624,Freight Obstruction Corridors
cell_12.932_77.635,1625,Night Spillovers
cell_12.932_77.683,1626,Commercial Arteries
cell_12.932_77.684,1627,Commercial Arteries
cell_12.932_77.685,1628,Commercial Arteries
cell_12.932_77.686,1629,Commercial Arteries
cell_12.932_77.687,1630,Commercial Arteries
cell_12.932_77.688,1631,Commercial Arteries
cell_12.932_77.689,1632,Commercial Arteries
cell_12.932_77.691,1633,Commercial Arteries
cell_12.932_77.692,1634,Commercial Arteries
cell_12.932_77.693,1635,Commercial Arteries
cell_12.932_77.695,1636,Commercial Arteries
cell_12.932_77.696,1637,Commercial Arteries
cell_12.932_77.697,1638,Commercial Arteries
cell_12.933_77.488,1639,Junction Choke Points
cell_12.933_77.489,1640,Night Spillovers
cell_12.933_77.516,1641,Night Spillovers
cell_12.933_77.517,1642,Night Spillovers
cell_12.933_77.541,1643,Night Spillovers
cell_12.933_77.555,1644,Freight Obstruction Corridors
cell_12.933_77.557,1645,Night Spillovers
cell_12.933_77.58,1646,Junction Choke Points
cell_12.933_77.583,1647,Junction Choke Points
cell_12.933_77.584,1648,Junction Choke Points
cell_12.933_77.585,1649,Junction Choke Points
cell_12.933_77.586,1650,Junction Choke Points
cell_12.933_77.587,1651,Junction Choke Points
cell_12.933_77.601,1652,Junction Choke Points
cell_12.933_77.607,1653,Junction Choke Points
cell_12.933_77.61,1654,Junction Choke Points
cell_12.933_77.613,1655,Junction Choke Points
cell_12.933_77.614,1656,Junction Choke Points
cell_12.933_77.615,1657,Junction Choke Points
cell_12.933_77.622,1658,Night Spillovers
cell_12.933_77.623,1659,Night Spillovers
cell_12.933_77.624,1660,Night Spillovers
cell_12.933_77.631,1661,Night Spillovers
cell_12.933_77.632,1662,Freight Obstruction Corridors
cell_12.933_77.682,1663,Mixed Risk Zone
cell_12.933_77.688,1664,Commercial Arteries
cell_12.933_77.689,1665,Commercial Arteries
cell_12.933_77.69,1666,Commercial Arteries
cell_12.933_77.691,1667,Weekend Event Zones
cell_12.933_77.692,1668,Commercial Arteries
cell_12.933_77.695,1669,Night Spillovers
cell_12.933_77.696,1670,Commercial Arteries
cell_12.933_77.697,1671,Commercial Arteries
cell_12.934_77.517,1672,Night Spillovers
cell_12.934_77.538,1673,Freight Obstruction Corridors
cell_12.934_77.559,1674,Freight Obstruction Corridors
cell_12.934_77.56,1675,Freight Obstruction Corridors
cell_12.934_77.562,1676,Freight Obstruction Corridors
cell_12.934_77.563,1677,Freight Obstruction Corridors
cell_12.934_77.583,1678,Junction Choke Points
cell_12.934_77.584,1679,Freight Obstruction Corridors
cell_12.934_77.587,1680,Junction Choke Points
cell_12.934_77.601,1681,Junction Choke Points
cell_12.934_77.602,1682,Mixed Risk Zone
cell_12.934_77.612,1683,Junction Choke Points
cell_12.934_77.613,1684,Junction Choke Points
cell_12.934_77.615,1685,Junction Choke Points
cell_12.934_77.616,1686,Junction Choke Points
cell_12.934_77.617,1687,Junction Choke Points
cell_12.934_77.618,1688,Night Spillovers
cell_12.934_77.619,1689,Night Spillovers
cell_12.934_77.62,1690,Night Spillovers
cell_12.934_77.621,1691,Night Spillovers
cell_12.934_77.623,1692,Night Spillovers
cell_12.934_77.627,1693,Mixed Risk Zone
cell_12.934_77.629,1694,Night Spillovers
cell_12.934_77.63,1695,Night Spillovers
cell_12.934_77.631,1696,Night Spillovers
cell_12.934_77.689,1697,Commercial Arteries
cell_12.934_77.69,1698,Commercial Arteries
cell_12.934_77.691,1699,Weekend Event Zones
cell_12.934_77.692,1700,Freight Obstruction Corridors
cell_12.934_77.697,1701,Commercial Arteries
cell_12.934_77.743,1702,Night Spillovers
cell_12.935_77.492,1703,Night Spillovers
cell_12.935_77.511,1704,Night Spillovers
cell_12.935_77.512,1705,Night Spillovers
cell_12.935_77.513,1706,Night Spillovers
cell_12.935_77.518,1707,Night Spillovers
cell_12.935_77.536,1708,Freight Obstruction Corridors
cell_12.935_77.537,1709,Freight Obstruction Corridors
cell_12.935_77.538,1710,Night Spillovers
cell_12.935_77.56,1711,Night Spillovers
cell_12.935_77.581,1712,Junction Choke Points
cell_12.935_77.593,1713,Mixed Risk Zone
cell_12.935_77.605,1714,Junction Choke Points
cell_12.935_77.606,1715,Junction Choke Points
cell_12.935_77.608,1716,Freight Obstruction Corridors
cell_12.935_77.609,1717,Junction Choke Points
cell_12.935_77.61,1718,Junction Choke Points
cell_12.935_77.612,1719,Junction Choke Points
cell_12.935_77.613,1720,Junction Choke Points
cell_12.935_77.614,1721,Junction Choke Points
cell_12.935_77.615,1722,Junction Choke Points
cell_12.935_77.616,1723,Junction Choke Points
cell_12.935_77.617,1724,Junction Choke Points
cell_12.935_77.622,1725,Night Spillovers
cell_12.935_77.623,1726,Night Spillovers
cell_12.935_77.624,1727,Night Spillovers
cell_12.935_77.625,1728,Mixed Risk Zone
cell_12.935_77.629,1729,Night Spillovers
cell_12.935_77.63,1730,Freight Obstruction Corridors
cell_12.935_77.689,1731,Commercial Arteries
cell_12.935_77.69,1732,Commercial Arteries
cell_12.935_77.691,1733,Commercial Arteries
cell_12.935_77.692,1734,Commercial Arteries
cell_12.935_77.693,1735,Commercial Arteries
cell_12.935_77.697,1736,Commercial Arteries
cell_12.935_77.744,1737,Night Spillovers
cell_12.936_77.492,1738,Night Spillovers
cell_12.936_77.512,1739,Junction Choke Points
cell_12.936_77.513,1740,Night Spillovers
cell_12.936_77.514,1741,Night Spillovers
cell_12.936_77.515,1742,Night Spillovers
cell_12.936_77.516,1743,Night Spillovers
cell_12.936_77.517,1744,Night Spillovers
cell_12.936_77.518,1745,Junction Choke Points
cell_12.936_77.519,1746,Night Spillovers
cell_12.936_77.52,1747,Night Spillovers
cell_12.936_77.532,1748,Night Spillovers
cell_12.936_77.533,1749,Night Spillovers
cell_12.936_77.536,1750,Night Spillovers
cell_12.936_77.561,1751,Night Spillovers
cell_12.936_77.562,1752,Night Spillovers
cell_12.936_77.581,1753,Junction Choke Points
cell_12.936_77.584,1754,Junction Choke Points
cell_12.936_77.585,1755,Mixed Risk Zone
cell_12.936_77.593,1756,Night Spillovers
cell_12.936_77.601,1757,Junction Choke Points
cell_12.936_77.602,1758,Junction Choke Points
cell_12.936_77.605,1759,Junction Choke Points
cell_12.936_77.606,1760,Junction Choke Points
cell_12.936_77.607,1761,Junction Choke Points
cell_12.936_77.608,1762,Junction Choke Points
cell_12.936_77.609,1763,Junction Choke Points
cell_12.936_77.611,1764,Junction Choke Points
cell_12.936_77.612,1765,Junction Choke Points
cell_12.936_77.614,1766,Junction Choke Points
cell_12.936_77.615,1767,Junction Choke Points
cell_12.936_77.616,1768,Junction Choke Points
cell_12.936_77.617,1769,Junction Choke Points
cell_12.936_77.618,1770,Night Spillovers
cell_12.936_77.621,1771,Night Spillovers
cell_12.936_77.622,1772,Night Spillovers
cell_12.936_77.625,1773,Freight Obstruction Corridors
cell_12.936_77.628,1774,Night Spillovers
cell_12.936_77.629,1775,Night Spillovers
cell_12.936_77.69,1776,Commercial Arteries
cell_12.936_77.691,1777,Commercial Arteries
cell_12.936_77.692,1778,Commercial Arteries
cell_12.936_77.693,1779,Commercial Arteries
cell_12.936_77.694,1780,Commercial Arteries
cell_12.936_77.697,1781,Commercial Arteries
cell_12.936_77.704,1782,Mixed Risk Zone
cell_12.936_77.705,1783,Commercial Arteries
cell_12.936_77.706,1784,Commercial Arteries
cell_12.936_77.707,1785,Commercial Arteries
cell_12.936_77.749,1786,Night Spillovers
cell_12.937_77.492,1787,Night Spillovers
cell_12.937_77.493,1788,Night Spillovers
cell_12.937_77.516,1789,Night Spillovers
cell_12.937_77.517,1790,Junction Choke Points
cell_12.937_77.518,1791,Night Spillovers
cell_12.937_77.519,1792,Mixed Risk Zone
cell_12.937_77.52,1793,Night Spillovers
cell_12.937_77.521,1794,Freight Obstruction Corridors
cell_12.937_77.531,1795,Freight Obstruction Corridors
cell_12.937_77.532,1796,Night Spillovers
cell_12.937_77.533,1797,Night Spillovers
cell_12.937_77.558,1798,Night Spillovers
cell_12.937_77.559,1799,Junction Choke Points
cell_12.937_77.563,1800,Night Spillovers
cell_12.937_77.569,1801,Night Spillovers
cell_12.937_77.573,1802,Junction Choke Points
cell_12.937_77.575,1803,Mixed Risk Zone
cell_12.937_77.576,1804,Mixed Risk Zone
cell_12.937_77.577,1805,Junction Choke Points
cell_12.937_77.578,1806,Junction Choke Points
cell_12.937_77.579,1807,Junction Choke Points
cell_12.937_77.58,1808,Junction Choke Points
cell_12.937_77.581,1809,Mixed Risk Zone
cell_12.937_77.583,1810,Freight Obstruction Corridors
cell_12.937_77.584,1811,Junction Choke Points
cell_12.937_77.585,1812,Junction Choke Points
cell_12.937_77.592,1813,Night Spillovers
cell_12.937_77.599,1814,Junction Choke Points
cell_12.937_77.601,1815,Junction Choke Points
cell_12.937_77.602,1816,Junction Choke Points
cell_12.937_77.603,1817,Mixed Risk Zone
cell_12.937_77.604,1818,Freight Obstruction Corridors
cell_12.937_77.605,1819,Junction Choke Points
cell_12.937_77.606,1820,Junction Choke Points
cell_12.937_77.607,1821,Junction Choke Points
cell_12.937_77.608,1822,Junction Choke Points
cell_12.937_77.611,1823,Junction Choke Points
cell_12.937_77.617,1824,Night Spillovers
cell_12.937_77.618,1825,Night Spillovers
cell_12.937_77.619,1826,Night Spillovers
cell_12.937_77.62,1827,Night Spillovers
cell_12.937_77.621,1828,Night Spillovers
cell_12.937_77.627,1829,Mixed Risk Zone
cell_12.937_77.633,1830,Night Spillovers
cell_12.937_77.691,1831,Commercial Arteries
cell_12.937_77.692,1832,Commercial Arteries
cell_12.937_77.693,1833,Commercial Arteries
cell_12.937_77.694,1834,Commercial Arteries
cell_12.937_77.697,1835,Commercial Arteries
cell_12.937_77.698,1836,Commercial Arteries
cell_12.937_77.699,1837,Commercial Arteries
cell_12.937_77.701,1838,Commercial Arteries
cell_12.937_77.702,1839,Commercial Arteries
cell_12.937_77.703,1840,Commercial Arteries
cell_12.937_77.704,1841,Commercial Arteries
cell_12.937_77.705,1842,Commercial Arteries
cell_12.937_77.746,1843,Freight Obstruction Corridors
cell_12.938_77.492,1844,Night Spillovers
cell_12.938_77.493,1845,Night Spillovers
cell_12.938_77.521,1846,Night Spillovers
cell_12.938_77.522,1847,Night Spillovers
cell_12.938_77.523,1848,Night Spillovers
cell_12.938_77.532,1849,Night Spillovers
cell_12.938_77.533,1850,Freight Obstruction Corridors
cell_12.938_77.534,1851,Freight Obstruction Corridors
cell_12.938_77.55,1852,Mixed Risk Zone
cell_12.938_77.554,1853,Night Spillovers
cell_12.938_77.555,1854,Night Spillovers
cell_12.938_77.556,1855,Night Spillovers
cell_12.938_77.557,1856,Night Spillovers
cell_12.938_77.558,1857,Night Spillovers
cell_12.938_77.568,1858,Night Spillovers
cell_12.938_77.57,1859,Junction Choke Points
cell_12.938_77.571,1860,Junction Choke Points
cell_12.938_77.577,1861,Junction Choke Points
cell_12.938_77.579,1862,Junction Choke Points
cell_12.938_77.58,1863,Junction Choke Points
cell_12.938_77.584,1864,Junction Choke Points
cell_12.938_77.585,1865,Night Spillovers
cell_12.938_77.592,1866,Night Spillovers
cell_12.938_77.593,1867,Night Spillovers
cell_12.938_77.597,1868,Freight Obstruction Corridors
cell_12.938_77.598,1869,Junction Choke Points
cell_12.938_77.599,1870,Junction Choke Points
cell_12.938_77.602,1871,Junction Choke Points
cell_12.938_77.604,1872,Junction Choke Points
cell_12.938_77.605,1873,Junction Choke Points
cell_12.938_77.61,1874,Junction Choke Points
cell_12.938_77.611,1875,Junction Choke Points
cell_12.938_77.618,1876,Freight Obstruction Corridors
cell_12.938_77.619,1877,Night Spillovers
cell_12.938_77.621,1878,Night Spillovers
cell_12.938_77.622,1879,Night Spillovers
cell_12.938_77.626,1880,Night Spillovers
cell_12.938_77.627,1881,Night Spillovers
cell_12.938_77.628,1882,Freight Obstruction Corridors
cell_12.938_77.633,1883,Night Spillovers
cell_12.938_77.693,1884,Commercial Arteries
cell_12.938_77.694,1885,Commercial Arteries
cell_12.938_77.697,1886,Commercial Arteries
cell_12.938_77.698,1887,Commercial Arteries
cell_12.938_77.699,1888,Commercial Arteries
cell_12.938_77.7,1889,Commercial Arteries
cell_12.938_77.701,1890,Commercial Arteries
cell_12.938_77.702,1891,Commercial Arteries
cell_12.938_77.718,1892,Night Spillovers
cell_12.938_77.746,1893,Night Spillovers
cell_12.938_77.747,1894,Night Spillovers
cell_12.938_77.748,1895,Night Spillovers
cell_12.939_77.493,1896,Night Spillovers
cell_12.939_77.521,1897,Freight Obstruction Corridors
cell_12.939_77.522,1898,Night Spillovers
cell_12.939_77.523,1899,Night Spillovers
cell_12.939_77.524,1900,Night Spillovers
cell_12.939_77.531,1901,Night Spillovers
cell_12.939_77.533,1902,Night Spillovers
cell_12.939_77.534,1903,Mixed Risk Zone
cell_12.939_77.547,1904,Night Spillovers
cell_12.939_77.548,1905,Freight Obstruction Corridors
cell_12.939_77.553,1906,Night Spillovers
cell_12.939_77.554,1907,Night Spillovers
cell_12.939_77.572,1908,Junction Choke Points
cell_12.939_77.577,1909,Junction Choke Points
cell_12.939_77.578,1910,Junction Choke Points
cell_12.939_77.579,1911,Junction Choke Points
cell_12.939_77.58,1912,Junction Choke Points
cell_12.939_77.584,1913,Junction Choke Points
cell_12.939_77.585,1914,Night Spillovers
cell_12.939_77.592,1915,Night Spillovers
cell_12.939_77.593,1916,Night Spillovers
cell_12.939_77.598,1917,Junction Choke Points
cell_12.939_77.602,1918,Night Spillovers
cell_12.939_77.609,1919,Night Spillovers
cell_12.939_77.61,1920,Night Spillovers
cell_12.939_77.618,1921,Freight Obstruction Corridors
cell_12.939_77.619,1922,Freight Obstruction Corridors
cell_12.939_77.62,1923,Freight Obstruction Corridors
cell_12.939_77.626,1924,Night Spillovers
cell_12.939_77.632,1925,Freight Obstruction Corridors
cell_12.939_77.633,1926,Freight Obstruction Corridors
cell_12.939_77.689,1927,Night Spillovers
cell_12.939_77.694,1928,Commercial Arteries
cell_12.939_77.695,1929,Commercial Arteries
cell_12.939_77.696,1930,Commercial Arteries
cell_12.939_77.697,1931,Commercial Arteries
cell_12.939_77.698,1932,Commercial Arteries
cell_12.939_77.717,1933,Night Spillovers
cell_12.939_77.718,1934,Night Spillovers
cell_12.939_77.72,1935,Mixed Risk Zone
cell_12.939_77.747,1936,Freight Obstruction Corridors
cell_12.93_77.505,1937,Mixed Risk Zone
cell_12.93_77.515,1938,Night Spillovers
cell_12.93_77.535,1939,Freight Obstruction Corridors
cell_12.93_77.546,1940,Freight Obstruction Corridors
cell_12.93_77.552,1941,Night Spillovers
cell_12.93_77.554,1942,Freight Obstruction Corridors
cell_12.93_77.555,1943,Freight Obstruction Corridors
cell_12.93_77.567,1944,Night Spillovers
cell_12.93_77.572,1945,Junction Choke Points
cell_12.93_77.573,1946,Junction Choke Points
cell_12.93_77.58,1947,Junction Choke Points
cell_12.93_77.581,1948,Junction Choke Points
cell_12.93_77.583,1949,Junction Choke Points
cell_12.93_77.584,1950,Junction Choke Points
cell_12.93_77.585,1951,Freight Obstruction Corridors
cell_12.93_77.586,1952,Junction Choke Points
cell_12.93_77.607,1953,Night Spillovers
cell_12.93_77.609,1954,Night Spillovers
cell_12.93_77.61,1955,Junction Choke Points
cell_12.93_77.613,1956,Junction Choke Points
cell_12.93_77.614,1957,Freight Obstruction Corridors
cell_12.93_77.615,1958,Junction Choke Points
cell_12.93_77.616,1959,Freight Obstruction Corridors
cell_12.93_77.625,1960,Night Spillovers
cell_12.93_77.628,1961,Freight Obstruction Corridors
cell_12.93_77.629,1962,Freight Obstruction Corridors
cell_12.93_77.63,1963,Night Spillovers
cell_12.93_77.632,1964,Night Spillovers
cell_12.93_77.633,1965,Night Spillovers
cell_12.93_77.634,1966,Night Spillovers
cell_12.93_77.679,1967,Night Spillovers
cell_12.93_77.68,1968,Freight Obstruction Corridors
cell_12.93_77.683,1969,Commercial Arteries
cell_12.93_77.684,1970,Night Spillovers
cell_12.93_77.685,1971,Weekend Event Zones
cell_12.93_77.686,1972,Commercial Arteries
cell_12.93_77.687,1973,Commercial Arteries
cell_12.93_77.688,1974,Commercial Arteries
cell_12.93_77.695,1975,Junction Choke Points
cell_12.93_77.74,1976,Night Spillovers
cell_12.941_77.493,1977,Night Spillovers
cell_12.941_77.494,1978,Night Spillovers
cell_12.941_77.524,1979,Night Spillovers
cell_12.941_77.525,1980,Night Spillovers
cell_12.941_77.532,1981,Freight Obstruction Corridors
cell_12.941_77.535,1982,Freight Obstruction Corridors
cell_12.941_77.561,1983,Night Spillovers
cell_12.941_77.565,1984,Freight Obstruction Corridors
cell_12.941_77.566,1985,Night Spillovers
cell_12.941_77.567,1986,Night Spillovers
cell_12.941_77.57,1987,Junction Choke Points
cell_12.941_77.571,1988,Junction Choke Points
cell_12.941_77.572,1989,Junction Choke Points
cell_12.941_77.573,1990,Junction Choke Points
cell_12.941_77.574,1991,Junction Choke Points
cell_12.941_77.577,1992,Junction Choke Points
cell_12.941_77.584,1993,Junction Choke Points
cell_12.941_77.585,1994,Night Spillovers
cell_12.941_77.609,1995,Junction Choke Points
cell_12.941_77.615,1996,Night Spillovers
cell_12.941_77.62,1997,Mixed Risk Zone
cell_12.941_77.621,1998,Night Spillovers
cell_12.941_77.624,1999,Night Spillovers
cell_12.941_77.625,2000,Mixed Risk Zone
cell_12.941_77.627,2001,Night Spillovers
cell_12.941_77.696,2002,Commercial Arteries
cell_12.941_77.697,2003,Commercial Arteries
cell_12.941_77.747,2004,Night Spillovers
cell_12.942_77.494,2005,Night Spillovers
cell_12.942_77.495,2006,Night Spillovers
cell_12.942_77.496,2007,Night Spillovers
cell_12.942_77.525,2008,Junction Choke Points
cell_12.942_77.526,2009,Junction Choke Points
cell_12.942_77.531,2010,Junction Choke Points
cell_12.942_77.548,2011,Mixed Risk Zone
cell_12.942_77.549,2012,Mixed Risk Zone
cell_12.942_77.558,2013,Freight Obstruction Corridors
cell_12.942_77.559,2014,Night Spillovers
cell_12.942_77.56,2015,Night Spillovers
cell_12.942_77.561,2016,Night Spillovers
cell_12.942_77.562,2017,Night Spillovers
cell_12.942_77.563,2018,Night Spillovers
cell_12.942_77.564,2019,Night Spillovers
cell_12.942_77.565,2020,Night Spillovers
cell_12.942_77.566,2021,Night Spillovers
cell_12.942_77.567,2022,Night Spillovers
cell_12.942_77.568,2023,Night Spillovers
cell_12.942_77.571,2024,Junction Choke Points
cell_12.942_77.572,2025,Junction Choke Points
cell_12.942_77.573,2026,Junction Choke Points
cell_12.942_77.574,2027,Junction Choke Points
cell_12.942_77.58,2028,Junction Choke Points
cell_12.942_77.584,2029,Freight Obstruction Corridors
cell_12.942_77.585,2030,Night Spillovers
cell_12.942_77.594,2031,Night Spillovers
cell_12.942_77.603,2032,Freight Obstruction Corridors
cell_12.942_77.608,2033,Junction Choke Points
cell_12.942_77.609,2034,Junction Choke Points
cell_12.942_77.613,2035,Night Spillovers
cell_12.942_77.615,2036,Mixed Risk Zone
cell_12.942_77.621,2037,Freight Obstruction Corridors
cell_12.942_77.622,2038,Night Spillovers
cell_12.942_77.623,2039,Night Spillovers
cell_12.942_77.624,2040,Night Spillovers
cell_12.942_77.631,2041,Night Spillovers
cell_12.942_77.684,2042,Night Spillovers
