archetype_name,cells,mean_poi,mean_cis,mean_priority,mean_propagation,mean_failure,junction_ratio,heavy_vehicle_ratio,weekend_ratio
Commercial Arteries,673,1.7820615952419379,80.74526849712785,79.7406475515611,81.45494592568146,74.89316234766646,0.36685889112028974,0.07769630796288844,0.2792204944716692
Freight Obstruction Corridors,885,0.969931100407498,41.408445445818806,46.07540195108976,41.05837511348588,43.576721515766586,0.1098074856302842,0.09094268532577221,0.22675366163634397
Junction Choke Points,2124,1.5648839151675924,71.76756278347375,80.07790697338214,77.61809037234936,63.904965272356485,0.7684524743825811,0.0817578580759767,0.2984743212761565
Mixed Risk Zone,535,0.9749615149781078,41.743031308889506,41.81440299792422,41.08732147810865,44.038454548063406,0.09035157988429016,0.06370829585586683,0.31650425310783437
Night Spillovers,3446,0.8049949164744109,32.0828403988188,34.10399115079207,28.36430776400449,37.49838601383771,0.011341302041521933,0.03508521463113315,0.31630712228124236
Weekend Event Zones,153,3.5672056461357227,95.01743114509536,93.46941908168931,98.7464962102207,87.36827172015172,0.7236144253925815,0.03230639410612865,0.3188494699145009
