spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_13.051_77.515,-1,4,Freight Obstruction Corridors,Stable
cell_13.051_77.525,109,1,Night Spillovers,Stable
cell_13.051_77.526,109,1,Night Spillovers,Stable
cell_13.051_77.552,157,1,Night Spillovers,Stable
cell_13.051_77.553,157,1,Night Spillovers,Stable
cell_13.051_77.575,413,4,Freight Obstruction Corridors,Stable
cell_13.051_77.593,483,4,Freight Obstruction Corridors,Stable
cell_13.051_77.594,-1,1,Night Spillovers,Stable
cell_13.051_77.63,180,5,Mixed Risk Zone,Stable
cell_13.051_77.631,180,5,Mixed Risk Zone,Stable
cell_13.052_77.487,137,1,Night Spillovers,Stable
cell_13.052_77.488,137,1,Night Spillovers,Stable
cell_13.052_77.489,137,4,Freight Obstruction Corridors,Stable
cell_13.052_77.49,-1,1,Night Spillovers,Stable
cell_13.052_77.494,-1,4,Freight Obstruction Corridors,Stable
cell_13.052_77.495,-1,4,Freight Obstruction Corridors,Stable
cell_13.052_77.508,125,5,Mixed Risk Zone,Stable
cell_13.052_77.525,109,1,Night Spillovers,Stable
cell_13.052_77.551,157,1,Night Spillovers,Stable
cell_13.052_77.552,157,1,Night Spillovers,Stable
cell_13.052_77.568,-1,1,Night Spillovers,Stable
cell_13.052_77.575,413,4,Freight Obstruction Corridors,Stable
cell_13.052_77.585,-1,1,Night Spillovers,Stable
cell_13.052_77.593,-1,1,Night Spillovers,Stable
cell_13.052_77.594,-1,0,Junction Choke Points,Stable
cell_13.052_77.631,180,5,Mixed Risk Zone,Stable
cell_13.052_77.646,78,1,Night Spillovers,Stable
cell_13.052_77.761,-1,1,Night Spillovers,Stable
cell_13.052_77.762,-1,5,Mixed Risk Zone,Stable
cell_13.053_77.485,137,1,Night Spillovers,Stable
cell_13.053_77.486,137,1,Night Spillovers,Stable
cell_13.053_77.487,137,1,Night Spillovers,Stable
