spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_13.09_77.557,-1,4,Freight Obstruction Corridors,Stable
cell_13.09_77.636,-1,1,Night Spillovers,Stable
cell_13.0_77.485,96,5,Mixed Risk Zone,Stable
cell_13.0_77.488,96,1,Night Spillovers,Stable
cell_13.0_77.489,96,1,Night Spillovers,Stable
cell_13.0_77.524,-1,0,Junction Choke Points,Stable
cell_13.0_77.525,165,1,Night Spillovers,Stable
cell_13.0_77.526,165,1,Night Spillovers,Stable
cell_13.0_77.533,-1,1,Night Spillovers,Stable
cell_13.0_77.534,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.541,-1,0,Junction Choke Points,Emerging
cell_13.0_77.548,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.549,-1,0,Junction Choke Points,Emerging
cell_13.0_77.55,1727,3,Weekend Event Zones,Stable
cell_13.0_77.551,-1,3,Weekend Event Zones,Growing
cell_13.0_77.552,-1,2,Commercial Arteries,Stable
cell_13.0_77.553,1518,2,Commercial Arteries,Emerging
cell_13.0_77.558,-1,2,Commercial Arteries,Stable
cell_13.0_77.564,-1,2,Commercial Arteries,Stable
cell_13.0_77.568,-1,2,Commercial Arteries,Stable
cell_13.0_77.569,1234,2,Commercial Arteries,Stable
cell_13.0_77.57,-1,2,Commercial Arteries,Stable
cell_13.0_77.571,1441,3,Weekend Event Zones,Emerging
cell_13.0_77.572,-1,0,Junction Choke Points,Stable
cell_13.0_77.573,-1,1,Night Spillovers,Stable
cell_13.0_77.575,-1,1,Night Spillovers,Stable
cell_13.0_77.584,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.595,533,1,Night Spillovers,Stable
cell_13.0_77.596,533,1,Night Spillovers,Stable
cell_13.0_77.597,533,0,Junction Choke Points,Stable
cell_13.0_77.599,532,1,Night Spillovers,Stable
cell_13.0_77.6,532,4,Freight Obstruction Corridors,Stable
cell_13.0_77.611,1025,0,Junction Choke Points,Stable
cell_13.0_77.612,-1,1,Night Spillovers,Stable
cell_13.0_77.614,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.615,985,1,Night Spillovers,Stable
cell_13.0_77.616,986,5,Mixed Risk Zone,Stable
cell_13.0_77.617,986,1,Night Spillovers,Stable
cell_13.0_77.618,986,1,Night Spillovers,Declining
cell_13.0_77.619,986,5,Mixed Risk Zone,Stable
cell_13.0_77.62,-1,1,Night Spillovers,Stable
cell_13.0_77.621,-1,1,Night Spillovers,Stable
cell_13.0_77.622,-1,1,Night Spillovers,Stable
cell_13.0_77.623,-1,1,Night Spillovers,Stable
cell_13.0_77.625,901,1,Night Spillovers,Declining
cell_13.0_77.626,901,1,Night Spillovers,Stable
cell_13.0_77.674,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.675,310,4,Freight Obstruction Corridors,Stable
cell_13.0_77.676,356,0,Junction Choke Points,Growing
cell_13.0_77.677,516,3,Weekend Event Zones,Stable
cell_13.0_77.678,516,0,Junction Choke Points,Stable
cell_13.0_77.679,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.68,-1,1,Night Spillovers,Stable
cell_13.0_77.681,-1,4,Freight Obstruction Corridors,Stable
cell_13.0_77.682,-1,4,Freight Obstruction Corridors,Growing
cell_13.0_77.684,-1,1,Night Spillovers,Stable
cell_13.0_77.685,230,4,Freight Obstruction Corridors,Declining
cell_13.0_77.686,230,1,Night Spillovers,Stable
cell_13.0_77.687,230,1,Night Spillovers,Declining
cell_13.0_77.688,230,1,Night Spillovers,Stable
cell_13.0_77.691,-1,1,Night Spillovers,Stable
cell_13.0_77.692,-1,4,Freight Obstruction Corridors,Stable
cell_13.101_77.582,-1,1,Night Spillovers,Stable
cell_13.101_77.583,-1,1,Night Spillovers,Stable
cell_13.101_77.588,55,1,Night Spillovers,Stable
cell_13.102_77.586,-1,1,Night Spillovers,Stable
cell_13.102_77.599,-1,1,Night Spillovers,Stable
cell_13.102_77.632,-1,4,Freight Obstruction Corridors,Stable
cell_13.103_77.584,-1,1,Night Spillovers,Stable
cell_13.103_77.615,-1,1,Night Spillovers,Stable
cell_13.104_77.584,-1,4,Freight Obstruction Corridors,Stable
cell_13.104_77.585,-1,5,Mixed Risk Zone,Stable
cell_13.104_77.6,8,4,Freight Obstruction Corridors,Stable
cell_13.104_77.601,8,1,Night Spillovers,Stable
cell_13.104_77.604,-1,5,Mixed Risk Zone,Stable
cell_13.104_77.605,-1,5,Mixed Risk Zone,Stable
cell_13.104_77.614,-1,1,Night Spillovers,Stable
cell_13.105_77.6,8,0,Junction Choke Points,Stable
cell_13.105_77.601,8,5,Mixed Risk Zone,Stable
cell_13.106_77.581,47,1,Night Spillovers,Stable
cell_13.106_77.582,-1,4,Freight Obstruction Corridors,Stable
cell_13.106_77.6,8,1,Night Spillovers,Stable
cell_13.106_77.601,8,1,Night Spillovers,Stable
cell_13.107_77.602,8,1,Night Spillovers,Stable
cell_13.107_77.603,8,4,Freight Obstruction Corridors,Stable
cell_13.108_77.603,8,0,Junction Choke Points,Stable
cell_13.108_77.604,8,4,Freight Obstruction Corridors,Stable
cell_13.109_77.603,8,4,Freight Obstruction Corridors,Stable
cell_13.109_77.604,8,1,Night Spillovers,Stable
cell_13.111_77.58,47,4,Freight Obstruction Corridors,Stable
cell_13.111_77.604,8,0,Junction Choke Points,Stable
cell_13.111_77.605,8,1,Night Spillovers,Stable
cell_13.112_77.605,8,1,Night Spillovers,Stable
cell_13.113_77.606,8,1,Night Spillovers,Stable
cell_13.114_77.579,47,1,Night Spillovers,Stable
cell_13.114_77.607,8,1,Night Spillovers,Stable
cell_13.114_77.634,-1,1,Night Spillovers,Stable
cell_13.115_77.578,47,1,Night Spillovers,Stable
cell_13.115_77.579,47,1,Night Spillovers,Stable
cell_13.115_77.607,8,0,Junction Choke Points,Stable
cell_13.116_77.578,47,1,Night Spillovers,Stable
cell_13.116_77.607,8,0,Junction Choke Points,Stable
cell_13.116_77.608,8,1,Night Spillovers,Stable
cell_13.117_77.578,47,4,Freight Obstruction Corridors,Stable
cell_13.117_77.608,-1,1,Night Spillovers,Stable
cell_13.118_77.577,47,1,Night Spillovers,Stable
cell_13.118_77.578,47,4,Freight Obstruction Corridors,Stable
cell_13.118_77.634,-1,1,Night Spillovers,Stable
cell_13.119_77.609,-1,1,Night Spillovers,Stable
cell_13.119_77.61,-1,0,Junction Choke Points,Stable
cell_13.119_77.612,-1,1,Night Spillovers,Stable
cell_13.119_77.633,13,4,Freight Obstruction Corridors,Stable
cell_13.11_77.603,8,1,Night Spillovers,Stable
cell_13.11_77.604,8,0,Junction Choke Points,Stable
cell_13.11_77.605,8,1,Night Spillovers,Stable
cell_13.121_77.61,18,1,Night Spillovers,Stable
cell_13.121_77.611,-1,4,Freight Obstruction Corridors,Stable
cell_13.121_77.612,-1,0,Junction Choke Points,Stable
cell_13.121_77.614,-1,4,Freight Obstruction Corridors,Stable
cell_13.121_77.615,-1,0,Junction Choke Points,Stable
cell_13.121_77.616,-1,0,Junction Choke Points,Stable
cell_13.121_77.617,25,4,Freight Obstruction Corridors,Stable
cell_13.121_77.618,25,1,Night Spillovers,Stable
cell_13.121_77.619,-1,0,Junction Choke Points,Stable
cell_13.121_77.62,-1,4,Freight Obstruction Corridors,Stable
cell_13.121_77.621,17,1,Night Spillovers,Stable
cell_13.121_77.622,17,1,Night Spillovers,Stable
cell_13.121_77.631,13,4,Freight Obstruction Corridors,Stable
cell_13.121_77.632,13,4,Freight Obstruction Corridors,Stable
cell_13.122_77.61,29,4,Freight Obstruction Corridors,Stable
cell_13.122_77.611,29,0,Junction Choke Points,Growing
cell_13.122_77.612,28,4,Freight Obstruction Corridors,Stable
cell_13.122_77.613,28,4,Freight Obstruction Corridors,Stable
